WELLNAME    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-9      2623        6467984.08  435038.52   2403.96     2403.07     3.59        304.48      6468013.21  435026.25   0.59
15/9-9      2623        6467984.08  435038.52   2414.02     2413.11     3.4         305.33      6468013.56  435025.75   0.59
15/9-9      2623        6467984.08  435038.52   2424.07     2423.15     3.38        305.38      6468013.91  435025.26   0.06
15/9-9      2623        6467984.08  435038.52   2434.13     2433.19     3.97        302.47      6468014.27  435024.73   1.84
15/9-9      2623        6467984.08  435038.52   2444.19     2443.22     4.57        299.57      6468014.65  435024.08   1.9
15/9-9      2623        6467984.08  435038.52   2454.25     2453.24     5.16        296.66      6468015.05  435023.33   1.91
15/9-9      2623        6467984.08  435038.52   2464.31     2463.26     5.29        296.74      6468015.46  435022.51   0.39
15/9-9      2623        6467984.08  435038.52   2474.37     2473.28     4.8         300.88      6468015.89  435021.74   1.82
15/9-9      2623        6467984.08  435038.52   2484.42     2483.3      4.3         305.01      6468016.32  435021.07   1.78
15/9-9      2623        6467984.08  435038.52   2494.48     2493.33     3.81        309.15      6468016.75  435020.5    1.7
15/9-9      2623        6467984.08  435038.52   2504.54     2503.37     3.31        313.29      6468017.16  435020.03   1.68
15/9-9      2623        6467984.08  435038.52   2514.6      2513.42     2.82        317.42      6468017.54  435019.65   1.6
15/9-9      2623        6467984.08  435038.52   2524.66     2523.47     2.75        317.16      6468017.9   435019.32   0.21
15/9-9      2623        6467984.08  435038.52   2534.72     2533.52     2.75        316.21      6468018.25  435018.99   0.14
15/9-9      2623        6467984.08  435038.52   2544.77     2543.55     2.75        315.25      6468018.59  435018.65   0.14
15/9-9      2623        6467984.08  435038.52   2554.83     2553.6      2.75        314.3       6468018.93  435018.31   0.14
15/9-9      2623        6467984.08  435038.52   2564.89     2563.65     2.61        314.8       6468019.26  435017.98   0.42
15/9-9      2623        6467984.08  435038.52   2574.95     2573.7      2.41        315.97      6468019.58  435017.67   0.62
15/9-9      2623        6467984.08  435038.52   2585.01     2583.75     2.2         317.13      6468019.87  435017.39   0.64
15/9-9      2623        6467984.08  435038.52   2595.07     2593.81     2           318.31      6468020.14  435017.14   0.61
15/9-9      2623        6467984.08  435038.52   2605.12     2603.85     1.79        319.48      6468020.39  435016.92   0.64
15/9-9      2623        6467984.08  435038.52   2615.18     2613.91     1.59        320.65      6468020.62  435016.73   0.61
15/9-9      2623        6467984.08  435038.52   2625.24     2623.96     1.38        321.82      6468020.82  435016.57   0.63
15/9-9      2623        6467984.08  435038.52   2635.3      2634.02     1.18        322.99      6468021     435016.43   0.6
15/9-9      2623        6467984.08  435038.52   2645.36     2644.08     1           324.03      6468021.15  435016.32   0.54
15/9-9      2623        6467984.08  435038.52   2655.42     2654.14     1           324.3       6468021.3   435016.21   0.01
15/9-9      2623        6467984.08  435038.52   2665.48     2664.2      1           324.57      6468021.44  435016.11   0.01
15/9-9      2623        6467984.08  435038.52   2675.53     2674.25     1           324.84      6468021.58  435016.01   0.01
15/9-9      2623        6467984.08  435038.52   2685.59     2684.3      1           325.11      6468021.73  435015.91   0.01
15/9-9      2623        6467984.08  435038.52   2695.65     2694.36     1           325.38      6468021.87  435015.81   0.01
