HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Talisman Energy Norway
FIELD:	EXPLORATION-UTM Zone 31
WELL NAME:	15/12-21 (Actual)
WELLBORE NAME:	15/12-21 (Actual)
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	127.72 m
SURVEYNAME:	15/12-21 (Actual)
SURVEYDATE:	20-04-2009
PRINTED DATE:	29-04-2009
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	434362.00m
SLOT NS MAP:	6454777.75m
SURFACE LATITUDE MAP:	58° 13' 40.534 N
SURFACE LONGITUDE  MAP:	1° 52' 56.859 E
BOTTOM HOLE MD:	3310.00 m
BOTTOM HOLE TVD:	3309.83 m
BOTTOM HOLE EW MAP:	434380.27m
BOTTOM HOLE NS MAP:	6454789.27m
----------------------------------------------------------------	
WATER DEPTH:	85.60 m
KB-MSL:	42.12 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	360
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  135.20 - 200.10 15/12-21; 36" SDS.MWD+SAG : MWD+SAG+SCC
H  240.10 - 1185.70 15/12-21; 17½" SDS.MWD+SAG : MWD+SAG+SCC
H  1220.80 - 2865.40 15/12-21; 12¼" SDS.MWD+SAG : MWD+SAG+SCC
H  2894.50 - 3289.50 15/12-21; 8½" SDS.MWD+SAG : MWD+SAG+SCC
H  3310.00 - 3310.00 15/12-21; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD         	Inc       	AZI    	TVD(RKB)   	TVDS       	X(m)        	y(m)        	NS          	EW          	DLS              	Vsec        	Lat                	Long
2894.50 	0.33    	77.28     	2894.35   	2852.23   	434381.61   	6454785.67    	9.77        	20.21       	0.27        	7.92      	    58° 13' 40.801 N	     1° 52' 58.052 E	
2923.20 	0.25    	31.18     	2923.05   	2880.93   	434381.72   	6454785.74    	9.85        	20.33       	0.25        	8.00      	    58° 13' 40.803 N	     1° 52' 58.059 E	
2952.00 	0.57    	24.76     	2951.85   	2909.73   	434381.81   	6454785.93    	10.03       	20.42       	0.34        	8.18      	    58° 13' 40.809 N	     1° 52' 58.064 E	
2978.80 	0.50    	29.87     	2978.65   	2936.53   	434381.93   	6454786.15    	10.25       	20.53       	0.09        	8.40      	    58° 13' 40.817 N	     1° 52' 58.071 E	
3007.80 	0.39    	33.19     	3007.65   	2965.53   	434382.04   	6454786.34    	10.44       	20.65       	0.12        	8.59      	    58° 13' 40.823 N	     1° 52' 58.078 E	
3032.00 	0.31    	351.53    	3031.85   	2989.73   	434382.08   	6454786.47    	10.58       	20.68       	0.32        	8.73      	    58° 13' 40.827 N	     1° 52' 58.080 E	
3063.50 	0.45    	322.26    	3063.35   	3021.23   	434381.99   	6454786.66    	10.76       	20.60       	0.22        	8.91      	    58° 13' 40.833 N	     1° 52' 58.075 E	
3092.30 	0.39    	319.31    	3092.15   	3050.03   	434381.86   	6454786.82    	10.92       	20.46       	0.07        	9.07      	    58° 13' 40.838 N	     1° 52' 58.066 E	
3121.70 	0.64    	313.95    	3121.55   	3079.43   	434381.67   	6454787.01    	11.11       	20.28       	0.26        	9.26      	    58° 13' 40.844 N	     1° 52' 58.055 E	
3150.50 	0.58    	316.16    	3150.35   	3108.23   	434381.46   	6454787.23    	11.33       	20.06       	0.07        	9.48      	    58° 13' 40.851 N	     1° 52' 58.041 E	
