  Well: 15/12-4
   UWI: 6211
 Units: m
    TD: 3140 m
LNGTDE: 1.903225
LATTDE: 58.05254444

     depth   inc      azi

     110       0       0
     336     0.5     208
     514    0.25     289
     543     0.5       9
     641    0.25     295
     746     0.5      29
     862    0.25      26
     968     0.5     189
    1073       1     190
    1179     0.5       0
    1294       1      79
    1399       1      49
    1505       1      60
    1614       1      20
    1722       1      21
    2419       1      34
    2570    0.25     323
    2606     0.5      40
    2674       1      10
    2688       1      19
    2726       1      10
    2785       1      16
    2840       2       0
    3140       2      36


Depth Mode          :  TVD
Depth Unit          :  International meters
Distance Unit       :  meters

UWI: 6211                      
Common: 15/12-4                                                                         
Measr. Depth    TVD Depth     X-Offset     Y-Offset
       698.000      697.989       -1.932       -0.269
       699.000      698.989       -1.934       -0.263
       700.000      699.989       -1.936       -0.258
       701.000      700.989       -1.938       -0.252
       702.000      701.989       -1.939       -0.247
       703.000      702.989       -1.941       -0.241
       704.000      703.989       -1.943       -0.236
       705.000      704.989       -1.945       -0.230
       706.000      705.989       -1.947       -0.225
       707.000      706.989       -1.949       -0.219
       708.000      707.989       -1.950       -0.214
       709.000      708.989       -1.952       -0.208
       710.000      709.989       -1.954       -0.202
       711.000      710.989       -1.956       -0.197
       712.000      711.989       -1.958       -0.191
       713.000      712.989       -1.959       -0.186
       714.000      713.989       -1.961       -0.180
       715.000      714.989       -1.963       -0.175
       716.000      715.989       -1.965       -0.169
       717.000      716.989       -1.967       -0.164
       718.000      717.989       -1.968       -0.158
       719.000      718.989       -1.970       -0.152
       720.000      719.989       -1.972       -0.147
       721.000      720.989       -1.974       -0.141
       722.000      721.988       -1.976       -0.136
       723.000      722.988       -1.977       -0.130
       724.000      723.988       -1.979       -0.125
       725.000      724.988       -1.981       -0.119
       726.000      725.988       -1.983       -0.114
       727.000      726.988       -1.985       -0.108
       728.000      727.988       -1.986       -0.103
       729.000      728.988       -1.988       -0.097
       730.000      729.988       -1.990       -0.091
       731.000      730.988       -1.992       -0.086
       732.000      731.988       -1.994       -0.080
       733.000      732.988       -1.995       -0.075
       734.000      733.988       -1.997       -0.069
       735.000      734.988       -1.999       -0.064
       736.000      735.988       -2.001       -0.058
       737.000      736.988       -2.003       -0.053
       738.000      737.988       -2.004       -0.047
       739.000      738.988       -2.006       -0.041
       740.000      739.988       -2.008       -0.036
       741.000      740.988       -2.010       -0.030
       742.000      741.988       -2.012       -0.025
       743.000      742.988       -2.013       -0.019
       744.000      743.988       -2.015       -0.014
       745.000      744.988       -2.017       -0.008
       746.000      745.988       -2.019       -0.003
       747.000      746.988       -2.016        0.003
       748.000      747.988       -2.013        0.009
       749.000      748.988       -2.010        0.015
