Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 
meters and linearly interpolated between original survey points. Computed 
2011-08-31

HEADER INFORMATION 
----------------------------------------------------------------
COMPANY: STATOIL NORWAY
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 15/6-12
WELLBORE NAME: 15/6-12 McHenry
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 15/6-12 McHenry
Survey Date: 16.02.2011
Extraction Date: 12.08.2011
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: WELL
LAT Reference: Site
----------------------------------------------------------------
Slot EW Map: 426697.000m
Slot NS Map: 6499708.000m
Surface Latitude Map: 58° 37' 48.515 N
Surface Longitude Map: 1° 44' 15.483 E
Bottom Hole MD: 3930.00m
Bottom Hole TVD: 3929.65m
Bottom Hole EW Map: 426694.704m
Bottom Hole NS Map: 6499691.286m
----------------------------------------------------------------
Water Depth: 115.50m
KB-WH: 23.50m
KB-MSL: 23.50m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
VSDIR: 360
----------------------------------------------------------------
SURVEY LIST
MD             Inc            Azim           TVD            X-Offset (E/W) Y-Offset (N/S) UTM E/W        UTM N/S        DLS
m RKB          deg            deg            m RKB          m              m              m              m              deg/30m
42.00          0.00           108.78         42.00          0.000          0.000          426697.000     6499708.000    0.00
42.20          0.00           109.30         42.20          0.000          0.000          426697.000     6499708.000    0.00
42.40          0.00           109.81         42.40          0.000          0.000          426697.000     6499708.000    0.00
42.60          0.00           110.33         42.60          0.000          0.000          426697.000     6499708.000    0.00
42.80          0.00           110.85         42.80          0.000          0.000          426697.000     6499708.000    0.00
43.00          0.00           111.37         43.00          0.000          0.000          426697.000     6499708.000    0.00
43.20          0.00           111.88         43.20          0.000          0.000          426697.000     6499708.000    0.00
43.40          0.00           112.40         43.40          0.000          0.000          426697.000     6499708.000    0.00
43.60          0.00           112.92         43.60          0.000          0.000          426697.000     6499708.000    0.00
43.80          0.00           113.44         43.80          0.000          0.000          426697.000     6499708.000    0.00
44.00          0.00           113.96         44.00          0.000          0.000          426697.000     6499708.000    0.00
44.20          0.00           114.47         44.20          0.000          0.000          426697.000     6499708.000    0.00
44.40          0.00           114.99         44.40          0.000          0.000          426697.000     6499708.000    0.00
44.60          0.00           115.51         44.60          0.000          0.000          426697.000     6499708.000    0.00
44.80          0.00           116.03         44.80          0.000          0.000          426697.000     6499708.000    0.00
45.00          0.00           116.55         45.00          0.000          0.000          426697.000     6499708.000    0.00
45.20          0.00           117.06         45.20          0.000          0.000          426697.000     6499708.000    0.00
45.40          0.00           117.58         45.40          0.000          0.000          426697.000     6499708.000    0.00
45.60          0.00           118.10         45.60          0.000          0.000          426697.000     6499708.000    0.00
45.80          0.00           118.62         45.80          0.000          0.000          426697.000     6499708.000    0.00
46.00          0.00           119.14         46.00          0.000          0.000          426697.000     6499708.000    0.00
46.20          0.00           119.65         46.20          0.000          0.000          426697.000     6499708.000    0.00
46.40          0.00           120.17         46.40          0.000          0.000          426697.000     6499708.000    0.00
46.60          0.00           120.69         46.60          0.000          0.000          426697.000     6499708.000    0.00
46.80          0.00           121.21         46.80          0.000          0.000          426697.000     6499708.000    0.00
47.00          0.00           121.73         47.00          0.000          0.000          426697.000     6499708.000    0.00
47.20          0.00           122.24         47.20          0.000          0.000          426697.000     6499708.000    0.00
47.40          0.00           122.76         47.40          0.000          0.000          426697.000     6499708.000    0.00
47.60          0.00           123.28         47.60          0.000          0.000          426697.000     6499708.000    0.00
47.80          0.00           123.80         47.80          0.000          0.000          426697.000     6499708.000    0.00
48.00          0.00           124.32         48.00          0.000          0.000          426697.000     6499708.000    0.00
